arxiv,논문제목,venue,년도,method 요약,사용한 데이터,시도한 실험,결과,contribution,imbalance 연관성,URL,확인수준
2605.21742,Correcting Class Imbalance in Prior-Data Fitted Networks for Tabular Classification,IEEE Information Theory Workshop (ITW) 2026,2026,"PFN(TabPFN 계열)은 인컨텍스트 학습으로 동작하므로 class weighting 같은 손실 함수 기반 불균형 보정이 원천적으로 불가능하다는 점에 착안한다. 결정 임계값 조정(thresholding), 다운샘플링 등 고전적 불균형 대응 기법들을 PFN의 인컨텍스트 학습 방식에 맞게 적응시켜 체계적으로 비교한다.",표 형식 분류 데이터셋들(초록에 개별 데이터셋명과 불균형비는 미명시). 불균형 상황에서 TabPFN이 다수 클래스로 편향됨을 관찰한 설정이다.,여러 고전적 불균형 보정 기법을 PFN 분류에 적용해 소수 클래스 성능과 캘리브레이션을 비교 평가했다.,"PFN의 우수한 캘리브레이션 덕분에 사후 임계값 조정(thresholding)이 가장 효과적이었고, PFN의 소표본 성능 덕분에 다운샘플링도 그에 준하는 성능을 내면서 추론 비용까지 줄였다.","TabPFN/PFN의 클래스 불균형을 보정하는 실용적 처방(임계값 조정 + 다운샘플링)을 체계적으로 제시한, 이 주제에 가장 직접적인 논문이다.","'TabPFN × 클래스 불균형'을 정면으로 다루며, 인컨텍스트 학습이라 손실 기반 보정이 불가하다는 문제 설정 자체가 본 연구와 직결된다.",https://arxiv.org/abs/2605.21742,초록 확인
2509.07605,Beyond Rebalancing: Benchmarking Binary Classifiers Under Class Imbalance Without Rebalancing Techniques,arXiv preprint,2025,"SMOTE 등 리밸런싱 기법을 일절 적용하지 않은 'as-is' 조건에서 TabPFN을 포함한 다양한 이진 분류기의 불균형 강건성을 평가한다. 소수 클래스 크기를 100%→50%→25%→10%→5%→1%로, 나아가 one-/few-shot(k=1,3,5) 수준까지 체계적으로 축소하고, 합성 데이터로 결정 경계 복잡도까지 조작하며 one-class classification(OCC)도 대조군으로 포함한다.",UCI/Kaggle 실세계 19개 데이터셋(불균형비 0.0015~0.536)과 결정 경계 복잡도가 다른 합성 5개 데이터셋.,"데이터 복잡도 × 소수 클래스 축소 수준의 격자에서 전통 분류기, 부스팅 앙상블, TabPFN, OCC를 AUC-ROC, AUC-PR, F1, G-mean 등으로 비교했다.","TabPFN이 소수 클래스 1%의 극단적 불균형과 one-/few-shot 설정을 포함한 모든 축소 수준에서 가장 높은 성능을 일관되게 유지하며 RF, XGBoost, RUSBoost 등 앙상블을 능가했고, 전통 분류기는 극단적 불균형에서 붕괴했다.",리밸런싱 없이도 TabPFN이 극단적 불균형에 가장 강건한 분류기임을 대규모 통제 비교로 보였다.,"불균형 정도 자체를 실험 변수로 조작해 TabPFN의 소수 클래스 강건성을 직접 정량화한 벤치마크로, 불균형비 >1000인 NIDS 세팅의 모델 선택 근거가 된다.",https://arxiv.org/abs/2509.07605,초록 확인
2605.04363,Mitigating Label Shift in Tabular In-Context Learning via Test-Time Posterior Adjustment,ICML 2026,2026,"TabPFN이 label shift에 취약하고 다수 클래스에 과적합하는 문제를 지적한다. 사전학습 prior의 영향은 줄이고 모델의 예측 posterior는 증폭하도록 클래스 확률을 재스케일하는 테스트타임 사후확률 보정 DistPFN을 제안하며, 아키텍처 변경이나 재학습이 불필요하다. prior-posterior 괴리에 따라 보정 강도를 온도로 동적 조절하는 DistPFN-T도 함께 제시한다.",250개 이상의 OpenML 표 형식 데이터셋(label shift 유무 양쪽 설정).,TabPFN 계열 변형들에 DistPFN/DistPFN-T를 적용해 label shift 조건과 표준 조건 모두에서 성능 변화를 측정했다.,"label shift 조건에서 TabPFN 변형들의 성능이 큰 폭으로 향상되었고, shift가 없는 표준 시나리오에서는 기존 성능이 유지되었다.",표 형식 파운데이션 모델을 위한 최초의 테스트타임 posterior 보정 기법을 제시했다(코드 공개).,훈련-시험 간 클래스 비율 차이(label shift)와 다수 클래스 과적합이라는 불균형 TabPFN의 핵심 문제를 재학습 없이 보정하는 직접적 해법이다.,https://arxiv.org/abs/2605.04363,초록 확인
2605.18635,Data Presentation Over Architecture: Resampling Strategies for Credit Risk Prediction with Tabular Foundation Models,arXiv preprint,2026,"심한 불균형의 신용 부도 예측에서 모델 아키텍처보다 '무엇을 컨텍스트로 보여주느냐'가 성능을 좌우한다는 가설을 검증한다. uniform·balanced·hybrid 샘플링을 포함한 7가지 컨텍스트 구성 전략을 컨텍스트 크기 1K~50K에 걸쳐 비교하고, 표 형식 파운데이션 모델 5종과 고전 모델 4종을 평가한다.","Home Credit, Lending Club 신용 데이터(심한 클래스 불균형, 이질적 피처).","7가지 리샘플링/컨텍스트 전략 × 컨텍스트 크기 1K~50K × 모델 9종의 격자 비교를 수행하고, AUC-ROC 분산 분해로 전략 대 모델의 기여도를 분석했다.","balanced/hybrid 샘플링이 uniform 대비 AUC 3~4점 높았고, 컨텍스트 전략 선택이 모델 선택보다 AUC 분산을 더 많이 설명했다. balanced 5K~10K 컨텍스트의 파운데이션 모델이 전체 데이터로 학습한 고전 베이스라인과 대등했으며, 임계값 조정한 gradient boosting이 놓친 소수(부도) 클래스 recall을 회복했다.",TabPFN류에서 클래스 균형 컨텍스트 구성이 아키텍처 선택보다 중요함을 정량적으로 입증했다.,"심한 불균형에서 균형 잡힌 컨텍스트 샘플링이 소수 클래스 recall을 회복시킨다는 직접 증거로, 불균형 하 TabPFN 컨텍스트 구성 연구의 핵심 근거다.",https://arxiv.org/abs/2605.18635,초록 확인
2605.10896,"V4FinBench: Benchmarking Tabular Foundation Models, LLMs, and Standard Methods on Corporate Bankruptcy Prediction",arXiv preprint,2026,"V4 국가(2006–2021)의 기업-연도 레코드 100만 건 이상, 131개 피처, 6개 예측 호라이즌으로 구성된 파산 예측 벤치마크를 구축한다. 양성률 0.19~0.36%의 현실적 극한 불균형 하에서 고전 표 형식 베이스라인, 불균형 인지(imbalance-aware) finetuning한 TabPFN, QLoRA-finetuned Llama-3-8B를 비교 평가한다.","V4FinBench(100만+ 레코드, 양성률 0.19~0.36%의 극한 불균형)와 외부 평가용 American Bankruptcy Dataset.","6개 호라이즌에서 F1·ROC-AUC로 gradient boosting, finetuned TabPFN, Llama-3-8B를 비교하고, V4로 finetuning한 TabPFN 체크포인트를 미국 파산 데이터에 전이 평가했다.","불균형 인지 finetuning을 적용하면 TabPFN이 장기 호라이즌에서 gradient boosting과 대등하거나 상회했고(F1, ROC-AUC), Llama-3-8B는 모든 호라이즌에서 열세였다. 외부 데이터에서도 finetuned TabPFN이 vanilla 대비 개선되어 전이 가능한 구조 학습을 시사했다.",양성률 0.2~0.4%의 현실적 극한 불균형에서 TabPFN의 불균형 인지 finetuning 효과를 대규모로 검증한 공개 벤치마크다.,"IR>1000급 극한 불균형(양성률 0.19%)에서 TabPFN을 어떻게 적응시켜야 하는지 보인 대규모 실증으로, 본 침입탐지 세팅의 불균형비와 유사한 조건이다.",https://arxiv.org/abs/2605.10896,초록 확인
2505.16226,Realistic Evaluation of TabPFN v2 in Open Environments,arXiv preprint,2025,"TabPFN v2를 폐쇄적 벤치마크가 아닌 개방 환경(open environment) 조건에서 평가하는 프레임워크를 구축한다. 데이터 규모 증가, 공변량 이동, 클래스 불균형 등 실환경 난제를 축별로 분리해 트리 기반 모델과 체계적으로 비교한다.",다양한 표 형식 벤치마크를 개방 환경 시나리오로 재구성(클래스 균형/불균형 조건을 명시적으로 분리해 평가).,TabPFN v2와 트리 기반 모델(GBDT 등)을 개방 환경 축별로 비교하는 평가 프레임워크를 공개하고 실험했다.,"TabPFN v2는 소규모·공변량 이동·클래스 균형 과제에는 적합했으나, 불균형에 민감한 지표(F1, Balanced Accuracy)에서 성능이 크게 저하되어 소수 클래스 처리에 내재적 한계를 보였다. 일반적 표 데이터 작업에서는 트리 기반 모델이 여전히 우위라고 결론지었다.",TabPFN v2의 적용 가능 영역과 한계(특히 불균형 데이터)를 실증적으로 규명하고 평가 프레임워크를 공개했다.,"TabPFN v2가 불균형 민감 지표에서 무너진다는 부정적 증거로, 심한 불균형 NIDS에 TabPFN을 쓸 때의 리스크를 뒷받침한다.",https://arxiv.org/abs/2505.16226,초록 확인
https://ora.ox.ac.uk/objects/uuid:ee8cb8c4-3868-4772-b83e-62af7c340f83,Navigating Severe Class Imbalance in Population Cohort Data,IEEE EMBC 2025 (47th Annual International Conference of the IEEE EMBS),2025,"UK Biobank 단백체·임상 데이터로 코호트의 0.3%만 발병하는 다발성 골수종을 예측하는 극심한 불균형 문제를 다룬다. 표준 분류기(XGBoost, 로지스틱 회귀), SMOTE 재표집, 이상 탐지 기법(IF, LOF, OCSVM, AE), TabPFN을 체계적으로 비교하고, 고정밀도 우선의 2단계 순차 XGBoost 앙상블(SeqXGB)을 추가로 제안한다.","UK Biobank 코호트(양성 147건 vs 음성 다수, 유병률 0.3%의 극심한 불균형; TabPFN 학습에는 양성 147 + 음성 9,850 서브샘플 사용).",9개 모델을 5-fold CV로 튜닝해 held-out 테스트에서 AUC·정밀도·민감도·F1로 비교했다.,"TabPFN은 AUC 0.88(2위)·민감도 0.74였으나 F1은 0.02에 그쳐 순위 매김에 강하고 임계값 분류에 약함을 보였고, SMOTE는 개선이 없거나 오히려 악화시켰다. SeqXGB는 위양성을 420건에서 9건으로 줄이는 대신 민감도가 0.70에서 0.15로 떨어졌다.","극심한 불균형에서는 만능 기법이 없고 임상 목적(선별 vs 진단)에 따라 모델을 골라야 함을 실증하며, TabPFN의 강점(랭킹)과 약점(임계값 분류 F1)을 분리해 보였다.",유병률 0.3%의 극심한 불균형에서 TabPFN의 높은 AUROC와 처참한 F1이 공존하는 패턴(본 연구의 tail-class 증상과 동형)을 직접 보고한다.,https://ora.ox.ac.uk/objects/uuid:ee8cb8c4-3868-4772-b83e-62af7c340f83,초록 확인
2512.21602,An Empirical Study of Machine Learning Robustness and Scalability for Imbalanced Tabular Clinical Data in Emergency and Critical Care,arXiv preprint,2025,"응급/중환자 임상 데이터의 심한 클래스 불균형 하에서 6개 모델 계열(Decision Tree, Random Forest, XGBoost, TabNet, TabICL, TabPFN v2.6)의 강건성과 확장성을 비교하는 실증 벤치마크다. TabPFN은 재학습·파인튜닝·클래스 가중치 조정 없이 사전학습 상태 그대로 단일 forward pass 추론으로 평가한다.",MIMIC-IV-ED(응급실)와 eICU(중환자실) 대규모 임상 데이터셋(결과 클래스가 심하게 불균형하여 다수 클래스로 편향되는 설정).,"두 데이터셋에서 Macro F1 기준으로 6개 모델 계열의 평균 순위를 비교하고, 데이터 규모에 따른 확장성과 불균형 강건성을 분석했다.","MIMIC-IV-ED에서는 TabPFN v2.6과 TabICL이 평균 Macro F1 최상위였고 XGBoost도 경쟁력을 유지했으며, eICU에서는 XGBoost가 최고이고 파운데이션 모델은 중간 수준으로, 어떤 접근도 모든 임상 세팅을 지배하지 못했다.",불균형 임상 표 데이터에서 표 형식 파운데이션 모델이 고전 강력 베이스라인과의 격차를 좁히고 있음을 체계적으로 보였다.,"심한 불균형 데이터에서 TabPFN의 macro-F1을 XGBoost 등과 직접 비교한, 본 침입탐지 불균형 세팅과 구조적으로 가장 유사한 벤치마크다.",https://arxiv.org/abs/2512.21602,초록 확인
https://www.medrxiv.org/content/10.64898/2026.02.24.26347002v1.full,"Classification of Adolescent Drinking via Behavioral, Biological, and Environmental Features: A Machine Learning Approach with Bias Control",medRxiv preprint,2026,"TabPFN에 focal loss를 결합한 FocalTab 프레임워크로 청소년 음주자/비음주자를 분류한다. focal loss가 쉬운 예시의 기여를 낮추고 어려운(소수 클래스) 예시에 집중하게 하며, 나이·물질사용 등 교란 변수를 체계적으로 제거하는 바이어스 통제를 병행한다.","NCANDA 코호트 801명(비음주 661 vs 음주 140, 약 4.7:1 불균형), 13개 범주 167개 임상 변수.","나이·물질사용 변수를 제외한 가장 엄격한 조건에서 로지스틱 회귀, 랜덤 포레스트, MLP와 비교하고 SHAP으로 주요 예측 변수를 분석했다.","FocalTab이 AUC 0.902, 정확도 84.3%, F1 85.0%, 특이도 80.0%를 달성했고, 경쟁 모델들은 같은 조건에서 특이도가 12~24%로 사실상 붕괴했다.",불균형 임상 데이터에서 TabPFN+focal loss 결합이 소수 클래스 성능 붕괴를 막을 수 있음을 보였다.,"TabPFN에 불균형 완화 손실(focal loss)을 결합한 드문 사례로, TabPFN 불균형 보정 아이디어와 직접 연결된다.",https://www.medrxiv.org/content/10.64898/2026.02.24.26347002v1.full,초록 확인
2604.01841,Retrieval-aligned Tabular Foundation Models Enable Robust Clinical Risk Prediction in Electronic Health Records Under Real-world Constraints,arXiv preprint,2026,PFN 기반 표 형식 인컨텍스트 학습(TICL) 모델이 EHR의 이질성과 불균형이 커질수록 단순 거리 기반 retrieval로는 성능이 저하됨을 보인다. 지도 임베딩 학습과 경량 어댑터로 컨텍스트 검색을 태스크에 정렬하는 AWARE 프레임워크를 제안한다.,"다기관(multi-cohort) EHR 벤치마크(데이터 규모, 특징 차원, 결과 희귀도, 교차 코호트 일반화를 변화시키며 평가).","고전 ML, 딥 테이블 모델, TICL(PFN류) 모델을 비교하고, 극단적 불균형 조건에서 AUPRC로 AWARE의 이득을 측정했다.","AWARE가 극단적 불균형 하에서 AUPRC를 최대 12.2% 개선했고 데이터 복잡도가 커질수록 이득이 증가했으며, PFN류는 저데이터 구간에서는 표본 효율적이나 이질성·불균형 증가 시 성능이 저하됐다.",임상 TICL 배포의 핵심 병목이 retrieval 품질과 retrieval-추론 정렬임을 규명하고 태스크 정렬 검색이라는 해법을 제시했다.,"희귀 결과·극단 불균형에서 TabPFN류 ICL이 무너지는 양상과 컨텍스트 선택 기반 보정법을 제시해, 불균형 하 TabPFN 컨텍스트 구성 연구에 직접 참고된다.",https://arxiv.org/abs/2604.01841,초록 확인
